SAISON;PERIODE;labels ;indice;FID;COMMENT;B;T;E;X;7_ane;8_ane;9_ane;10_ane;13_ane;14_ane;15_ane;16_ane;1_M_2_PA;BTM;AcAcBE;Carene;Pinene;Limonene;Thujone;1_6ol_2_E;FormicAcid;aceticacid;NonanoicAc;DecanoicAc;Octanal;Decanal
Hiver;BF2;HBF219;19;19;B16;13,14378144;92,53470803;62,56220381;199,8306158;9,800108284;9,998845172;17,19239411;30,95081578;0;15,97738482;0;12,3586916;15,00874658;97,76964719;26,24569343;0;3,214719;0;0;29,40226275;31,42189474;9,894402623;21,08665106;16,53891872;0;17,50907781
Hiver;BF2;HBF220;20;20;B11;17,52105093;121,9358335;70,74375052;238,2505728;12,46955497;11,08642209;24,46223836;42,69833339;17,14630622;22,17805667;0;3,918916014;23,27250045;139,7830576;93,03835922;20,09099384;31,72276381;0;7,133751783;22,96640957;32,75225436;11,26189194;8,476057903;0;0;14,57857644
Hiver;BF3;HBF321;21;0;B19;17,88165526;144,8681169;124,8277586;362,1511631;15,51766709;24,92889352;42,08359806;61,12661416;0;31,66177542;29,70293153;38,17980007;55,74058759;257,3082219;48,33066996;0;28,93416601;0;29,09401173;;48,12994156;40,92702765;101,41193;;36,20506217;74,97058077
Hiver;BF3;HBF322;22;1;B21;19,57769962;186,9260557;123,9945835;388,7817993;13,19572416;30,7782766;52,00035073;100,4299019;34,04658012;7,395811846;0;3,267038466;67,55108287;269,9082862;57,05057153;0;6,908628251;0;11,10120244;;53,39187257;33,29061805;54,8405644;;17,67331582;38,39216563
Hiver;BF3;HBF323;23;2;B18;22,68217722;167,5784723;153,6514941;467,8477079;16,11267463;36,14732186;63,83929656;154,0485206;89,20142145;44,260356;23,42919732;30,6997952;114,3959495;451,8967949;54,08699668;0;24,9829427;0;20,2278767;;44,60039364;39,22098093;86,5847423;;28,78775422;64,91231511
Hiver;BF3;HBF324;24;3;B17;24,33679622;197,6541169;151,0663811;459,4078497;19,4000653;35,11850574;62,18391473;129,6636042;40,1712274;16,64447499;0;6,4071371;84,84207003;328,9151342;54,28590039;0;6,443205417;0;14,76823148;;74,5438382;45,54930024;32,76904618;;0;0
Hiver;BF3;HBF325;25;4;B20;18,80520527;116,3791845;94,33916;305,0152683;13,38107421;24,96498313;35,09527338;71,20336617;38,0044209;21,85537003;12,87134476;14,92986464;20,4901728;193,1650442;28,72136068;0;2,726401324;0;16,88420413;;48,39739818;25,82349179;52,93185285;;17,4707071;32,74910871
Hiver;BF3;HBF326;26;6;B02;19,67881391;496,9571344;247,4893732;615,4253349;31,0483123;48,67629029;179,8931863;468,4162762;148,9251288;62,50591185;88,99827047;41,89448472;71,88619573;696,77105;243,6536136;598,4095126;270,3465396;378,176036;423,9717083;;84,08635135;380,0739944;165,0157901;;214,4841586;91,18499244
Hiver;BF3;HBF327;27;9;B05;15,66436368;143,6441004;135,8885133;409,8743435;16,12768197;32,6695864;53,92242822;98,21592097;67,27737325;36,28008515;20,53420475;13,90425947;42,22794097;286,9717863;50,93396977;0;42,9467411;0;62,71438237;;48,71344759;69,15639688;59,11830877;;41,71244039;52,75050813
Hiver;BF3;HBF328;28;10;B06;15,79734103;122,8016144;127,1360608;354,2457003;10,84196007;20,19017734;31,42237512;60,88858659;42,54468386;9,847650411;4,575981716;5,474178466;37,69690473;188,2893462;36,87674548;29,3455463;22,48836771;0;41,1201809;;63,71061614;47,37647155;68,26511072;;27,52880291;56,84174336
Hiver;BF3;HBF329;29;11;B07;17,62602952;118,2430871;108,8938614;312,6356075;12,56427369;19,92593905;29,34509599;52,72344188;53,31221221;28,33945501;7,207398965;16,73533406;35,91128236;167,5279804;39,99227456;0;17,23657796;0;19,69520232;;52,92780335;39,0060934;44,20263404;;19,40402876;103,7069359
Hiver;BF3;HBF330;30;12;B03;16,56345741;128,5751126;119,1878573;346,2785113;12,53427949;21,96859486;36,61273642;67,44798941;61,42750156;34,85176197;16,39188283;39,49148359;57,1047085;203,1831541;50,6364013;0;9,294314841;0;23,29367769;;69,26131826;48,594282;47,84905277;;14,8370014;59,72278047
Hiver;BF3;HBF331;31;13;B08;17,44679613;164,7307606;191,912555;472,1003956;18,40423031;39,03668584;38,29745514;62,9447997;44,76995399;20,25560195;17,40807521;31,759495;49,74040364;210,4197462;61,66486518;0;4,324388849;0;9,706696002;;51,97365503;30,06350025;83,02657737;;25,24307808;50,56523727
Hiver;BF3;HBF332;32;14;B13;19,75308921;141,3069855;167,0441534;421,6381219;13,70181939;22,92370494;30,42955013;49,4374283;45,48903137;22,33426337;12,75440075;16,87531229;36,73959491;176,3264943;39,46230157;0;3,942137679;0;6,677276441;;56,55793788;23,67576313;27,83186088;;12,87900171;49,19892399
Hiver;BF3;HBF333;33;15;B14;13,5767824;106,1413765;134,925215;383,3152528;10,27090258;23,98568474;28,36764741;50,45381017;26,15570808;14,48002349;10,23919332;19,07814431;38,28932284;170,9267341;46,5872161;0;1,624350456;0;5,278986746;;54,85525075;23,73439277;24,72449106;;13,947468;38,50220479
Hiver;BF3;HBF334;34;16;B15;18,58956128;265,1962596;328,8663285;726,7784502;49,16363907;52,34695439;55,64142265;79,45898345;43,78960992;13,45825722;0;4,222202123;112,43118;302,7025537;129,7538727;0;1,838387726;0;6,636556255;;54,65301768;24,0725686;28,57825834;;15,82319488;74,17996667
Hiver;BF3;HBF335;35;17;B04;18,96052766;144,912568;136,2257414;393,4663389;17,03274442;36,63185437;47,06302846;69,35891973;30,77596317;12,55214922;6,705260536;9,27728372;46,69127541;190,9743008;43,84222997;0;7,830593963;0;11,29477354;;63,21829042;45,42221141;121,4057325;;0;0
Hiver;BF3;HBF336;36;18;B09;26,52421829;160,8325957;151,7232957;451,5954902;18,45767653;33,9512583;58,87120143;104,8385605;65,13511331;34,36227681;0;0;107,2866363;405,1106995;54,56336709;0;9,895175253;0;16,58913947;;46,26975315;34,09013276;88,6841373;;22,14301241;64,77008237
Hiver;BF3;HBF337;37;19;B16;23,93365685;137,0679499;128,7109202;389,1062238;15,93759876;25,01558413;40,22442519;66,77120317;45,87966339;18,07898673;10,03599241;11,61789787;42,13017046;271,9210904;33,13732716;0;3,66190966;0;25,62291347;;60,42780764;50,74409447;29,95981329;;21,1494281;65,28535491
Hiver;BF3;HBF338;38;20;B11;21,17839598;170,793979;188,177271;521,929399;22,23693605;33,8617896;64,10152536;125,9552136;73,08910373;53,99307407;21,0215535;20,75745128;103,8600752;370,0549837;280,9058168;0;38,13118677;0;24,3548367;;53,66697084;38,08480196;56,40774335;;25,57659547;59,96942961
Hiver;BF3;HBF339;39;23;B10b;24,0438499;158,5888605;209,941848;535,4309958;17,37507498;30,77650653;58,80595541;119,8304785;86,33965543;72,51685608;31,33541642;32,17541325;316,02085;763,6750342;83,88392221;0;14,65120973;0;21,51226227;;56,55475062;52,66847079;55,35237583;;23,90577516;60,53315006
Hiver;BF3;HBF340;40;34;B12;19,44759434;154,1308097;123,0469009;374,2874318;16,1184909;28,28703945;51,10345208;83,85375443;53,35461948;45,4434898;44,10121876;17,29943191;34,66700036;264,949248;41,57332058;0;54,35848942;0;77,58758619;;46,06135157;63,61419758;62,27558483;;42,59670361;0
